ts,broker,quote_asset,portfolio_value,portfolio_pnl,portfolio_pnl_pct,strategy_equity,strategy_realized,strategy_unrealized,strategy_total,drawdown_pct,exposure,exposure_pct
2026-03-23T06:45:46.147754+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:45:56.345888+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:46:06.566395+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:46:16.773026+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:46:26.980700+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:46:37.210572+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:46:47.417971+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:46:57.816710+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:47:08.027009+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:47:18.233584+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:47:28.448137+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:47:38.675942+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:47:48.882449+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:47:59.081909+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:48:09.294751+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:48:19.499313+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:48:29.711575+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:48:39.960778+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:48:50.171265+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:49:00.388764+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:49:10.595178+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:49:20.792344+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:49:31.010642+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:49:41.213020+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:49:51.416895+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:50:01.638381+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:50:11.869797+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:50:22.077763+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:50:32.290510+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:50:42.493834+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:50:52.703215+00:00,fyers,INR,1562487.34925,66220.28925,0.04425699864701960357264030126,1955476.56,0,-111221.00,-111221.00,0.002391470567512708071704487544,1768291.10,0.9042762956974539239682832097
2026-03-23T06:51:02.906092+00:00,fyers,INR,1562487.34925,66220.28925,0.04425699864701960357264030126,1955476.56,0,-111221.00,-111221.00,0.002391470567512708071704487544,1768291.10,0.9042762956974539239682832097
2026-03-23T06:51:13.117264+00:00,fyers,INR,1562487.34925,66220.28925,0.04425699864701960357264030126,1955476.56,0,-111221.00,-111221.00,0.002391470567512708071704487544,1768291.10,0.9042762956974539239682832097
2026-03-23T06:51:23.349438+00:00,fyers,INR,1562487.34925,66220.28925,0.04425699864701960357264030126,1955476.56,0,-111221.00,-111221.00,0.002391470567512708071704487544,1768291.10,0.9042762956974539239682832097
2026-03-23T06:51:33.556776+00:00,fyers,INR,1562487.34925,66220.28925,0.04425699864701960357264030126,1955476.56,0,-111221.00,-111221.00,0.002391470567512708071704487544,1768291.10,0.9042762956974539239682832097
2026-03-23T06:51:43.753832+00:00,fyers,INR,1562487.34925,66220.28925,0.04425699864701960357264030126,1955476.56,0,-111221.00,-111221.00,0.002391470567512708071704487544,1768291.10,0.9042762956974539239682832097
2026-03-23T06:51:53.965636+00:00,fyers,INR,1562487.34925,66220.28925,0.04425699864701960357264030126,1955476.56,0,-111221.00,-111221.00,0.002391470567512708071704487544,1768291.10,0.9042762956974539239682832097
2026-03-23T06:52:04.167334+00:00,fyers,INR,1563189.64925,66922.58925,0.04472636672894476471332597538,1956403.86,0,-110293.70,-110293.70,0.001943069836104075308259896129,1769218.4,0.9043216669997778475043491276
2026-03-23T06:52:14.365717+00:00,fyers,INR,1563189.64925,66922.58925,0.04472636672894476471332597538,1956403.86,0,-110293.70,-110293.70,0.001943069836104075308259896129,1769218.4,0.9043216669997778475043491276
2026-03-23T06:52:24.588402+00:00,fyers,INR,1563189.64925,66922.58925,0.04472636672894476471332597538,1956403.86,0,-110293.70,-110293.70,0.001943069836104075308259896129,1769218.4,0.9043216669997778475043491276
2026-03-23T06:52:34.793874+00:00,fyers,INR,1563189.64925,66922.58925,0.04472636672894476471332597538,1956403.86,0,-110293.70,-110293.70,0.001943069836104075308259896129,1769218.4,0.9043216669997778475043491276
