timestamp,equity,cash,inventory_qty,inventory_value,realized_pnl,unrealized_pnl
2026-05-07 05:15:00,999579.64,470177.14,99,529402.5,3392.14,-2841.3
2026-05-07 05:30:00,998352.3,469692.3,99,528660.0,3418.01,-4093.65
2026-05-07 05:45:00,998223.63,293145.63,132,705078.0,3418.01,-3900.6
2026-05-07 06:00:00,1000091.46,116598.96,165,883492.5,3418.01,-1711.05
2026-05-07 06:15:00,1006564.23,293170.23,132,713394.0,3442.62,4415.4
2026-05-07 06:30:00,1009949.77,293189.77,132,716760.0,3462.16,7781.4
2026-05-07 06:45:00,1010362.78,293206.78,132,717156.0,3479.17,8177.4
2026-05-07 07:00:00,1010494.78,293206.78,132,717288.0,3479.17,8309.4
2026-05-07 07:15:00,1010428.78,293206.78,132,717222.0,3479.17,8243.4
2026-05-07 07:30:00,1011946.78,293206.78,132,718740.0,3479.17,9761.4
2026-05-07 07:45:00,1009891.55,114106.55,165,895785.0,3479.17,8032.2
2026-05-07 08:00:00,1004941.55,114106.55,165,890835.0,3479.17,3082.2
2026-05-07 08:15:00,1002796.55,114106.55,165,888690.0,3479.17,937.2
2026-05-07 08:30:00,1001724.05,114106.55,165,887617.5,3479.17,-135.3
2026-05-07 08:45:00,1000981.55,114106.55,165,886875.0,3479.17,-877.8
2026-05-07 09:00:00,999496.55,114106.55,165,885390.0,3479.17,-2362.8
2026-05-07 09:15:00,996947.94,113620.44,165,883327.5,3503.78,-4935.15
2026-05-07 09:30:00,993977.94,113620.44,165,880357.5,3503.78,-7905.15
2026-05-07 09:45:00,997183.72,290191.72,132,706992.0,3528.38,-5045.7
2026-05-08 03:45:00,995137.9,115687.9,165,879450.0,3528.38,-6773.25
2026-05-08 04:00:00,996045.4,115687.9,165,880357.5,3528.38,-5865.75
2026-05-08 04:15:00,1002058.9,469339.9,99,532719.0,3576.33,-544.5
2026-05-08 04:30:00,1000149.8,291771.8,132,708378.0,3576.33,-2130.15
2026-05-08 04:45:00,1002415.88,291793.88,132,710622.0,3598.4,113.85
2026-05-08 05:00:00,1000963.88,291793.88,132,709170.0,3598.4,-1338.15
2026-05-08 05:15:00,1001381.95,291815.95,132,709566.0,3620.47,-942.15
2026-05-08 05:30:00,999720.35,114247.85,165,885472.5,3620.47,-2280.3
